STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
Alabama,10080,101,0,17,2,2015,Tuesday,15,25,Clear,1
Alabama,10081,33,0,20,2,2015,Friday,12,0,Snow,1
Alabama,10082,3,1210,24,2,2015,Tuesday,21,14,Clear,0
Alabama,10083,83,0,1,3,2015,Sunday,3,13,Clear,2
Alabama,10084,125,2260,1,3,2015,Sunday,10,25,Clear,1
Alabama,10085,121,0,1,3,2015,Sunday,13,30,Clear,1
Alabama,10086,89,1730,1,3,2015,Sunday,17,58,Rain,1
Alabama,10087,95,0,3,3,2015,Tuesday,12,25,Rain,0
Alabama,10088,127,0,3,3,2015,Tuesday,19,45,Rain,0
Alabama,10089,97,2550,3,3,2015,Tuesday,18,56,Clear,1
Alabama,10090,73,350,5,3,2015,Thursday,18,25,Cloudy,0
Alabama,10091,97,2550,3,3,2015,Tuesday,10,52,Clear,0
Alabama,10092,81,2340,8,3,2015,Sunday,19,10,Clear,0
Alabama,10093,73,0,9,3,2015,Monday,5,55,Rain,0
Alabama,10094,53,0,6,3,2015,Friday,20,25,Clear,0
Alabama,10095,101,2130,2,3,2015,Monday,8,7,Fog/Smog/Smoke,0
Alabama,10096,47,0,6,3,2015,Friday,13,45,Clear,1
Alabama,10097,115,160,18,2,2015,Wednesday,7,48,Cloudy,0
Alabama,10098,69,930,28,2,2015,Saturday,19,57,Cloudy,0
Alabama,10099,127,0,4,3,2015,Wednesday,11,47,Cloudy,0
Alabama,10101,59,0,7,3,2015,Saturday,4,0,Clear,1
Alabama,10102,101,2130,14,3,2015,Saturday,3,38,Rain,1
Alabama,10103,125,0,28,2,2015,Saturday,1,40,Clear,1
Alabama,10104,3,2650,5,3,2015,Thursday,15,3,Cloudy,0
Alabama,10105,77,1200,6,3,2015,Friday,99,99,Clear,1
Alabama,10106,23,0,9,3,2015,Monday,23,5,Rain,1
Alabama,10107,73,0,13,3,2015,Friday,0,41,Rain,1
Alabama,10108,15,2325,13,3,2015,Friday,19,21,Rain,0
Alabama,10109,17,0,14,3,2015,Saturday,10,0,Fog/Smog/Smoke,0
Alabama,10110,37,0,14,3,2015,Saturday,16,40,Cloudy,0
Alabama,10111,125,0,16,3,2015,Monday,22,55,Clear,1
Alabama,10112,93,0,21,3,2015,Saturday,1,45,Clear,0
Alabama,10113,73,0,4,4,2015,Saturday,20,15,Clear,0
Alabama,10114,3,860,1,4,2015,Wednesday,22,49,Clear,1
Alabama,10115,127,0,27,3,2015,Friday,23,28,Cloudy,0
Alabama,10116,35,0,14,3,2015,Saturday,21,7,Clear,0
Alabama,10117,3,0,11,3,2015,Wednesday,19,30,Cloudy,0
Alabama,10118,103,890,8,3,2015,Sunday,4,34,Clear,1
Alabama,10119,125,0,1,3,2015,Sunday,20,5,Cloudy,0
Alabama,10120,115,160,3,3,2015,Tuesday,13,27,Cloudy,0
Alabama,10121,51,3270,8,3,2015,Sunday,14,15,Clear,0
Alabama,10122,1,0,10,3,2015,Tuesday,11,50,Cloudy,0
Alabama,10123,43,0,16,3,2015,Monday,7,55,Clear,0
Alabama,10124,89,1970,16,3,2015,Monday,10,4,Clear,0
Alabama,10125,113,0,17,3,2015,Tuesday,15,6,Clear,0
Alabama,10126,31,0,19,3,2015,Thursday,12,0,Clear,0
Alabama,10127,31,0,20,3,2015,Friday,21,30,Cloudy,0
Alabama,10128,63,1213,20,3,2015,Friday,21,45,Clear,0
Alabama,10129,49,2564,24,3,2015,Tuesday,7,15,Clear,0
Alabama,10130,97,2100,24,3,2015,Tuesday,8,20,Cloudy,0
Alabama,10131,93,0,24,3,2015,Tuesday,19,40,Clear,0
Alabama,10132,89,1970,26,3,2015,Thursday,4,36,Clear,0
Alabama,10133,97,0,26,3,2015,Thursday,8,25,Cloudy,0
Alabama,10134,55,0,27,3,2015,Friday,23,35,Cloudy,0
Alabama,10135,15,0,27,3,2015,Friday,21,45,Cloudy,1
Alabama,10136,125,0,28,3,2015,Saturday,4,45,Clear,1
Alabama,10137,73,350,30,3,2015,Monday,19,15,Clear,0
Alabama,10138,55,2822,3,4,2015,Friday,19,50,Clear,0
Alabama,10139,43,830,3,4,2015,Friday,11,29,Cloudy,0
Alabama,10140,117,0,4,4,2015,Saturday,18,30,Clear,1
Alabama,10141,53,0,2,4,2015,Thursday,16,50,Clear,0
Alabama,10142,69,0,21,3,2015,Saturday,20,15,Clear,1
Alabama,10143,101,2130,23,3,2015,Monday,0,38,Clear,2
Alabama,10144,101,2130,24,3,2015,Tuesday,19,48,Clear,1
Alabama,10145,55,1280,24,3,2015,Tuesday,20,0,Clear,0
Alabama,10146,49,2564,28,3,2015,Saturday,20,4,Clear,1
Alabama,10147,25,0,1,4,2015,Wednesday,16,43,Clear,0
Alabama,10148,71,0,3,4,2015,Friday,8,50,Clear,0
Alabama,10149,77,0,3,4,2015,Friday,19,5,Cloudy,1
Alabama,10150,71,0,5,4,2015,Sunday,11,40,Clear,0
Alabama,10151,11,0,4,4,2015,Saturday,15,0,Clear,1
Alabama,10152,125,0,6,4,2015,Monday,6,25,Cloudy,0
Alabama,10153,51,3270,6,4,2015,Monday,17,25,Rain,0
Alabama,10154,73,0,16,2,2015,Monday,11,45,Rain,0
Alabama,10155,73,350,30,3,2015,Monday,20,50,Clear,0
Alabama,10156,97,2716,17,4,2015,Friday,13,42,Clear,0
Alabama,10157,101,2130,27,3,2015,Friday,5,20,Clear,0
Alabama,10158,73,0,6,4,2015,Monday,17,22,Rain,0
Alabama,10159,127,2400,12,2,2015,Thursday,11,42,Clear,0
Alabama,10160,73,330,14,3,2015,Saturday,22,9,Clear,0
Alabama,10161,109,3040,30,3,2015,Monday,15,27,Clear,0
Alabama,10162,113,2440,2,4,2015,Thursday,6,5,Clear,0
Alabama,10163,101,2130,4,4,2015,Saturday,5,50,Cloudy,0
Alabama,10164,53,0,6,4,2015,Monday,14,35,Clear,0
Alabama,10165,43,0,6,4,2015,Monday,14,20,Rain,0
Alabama,10166,81,200,10,4,2015,Friday,3,15,Cloudy,1
Alabama,10167,125,718,11,4,2015,Saturday,23,45,Cloudy,1
Alabama,10168,51,2940,12,4,2015,Sunday,0,51,Clear,1
Alabama,10169,89,0,13,4,2015,Monday,12,10,Rain,0
Alabama,10170,113,0,8,4,2015,Wednesday,20,23,Clear,0
Alabama,10171,61,0,9,4,2015,Thursday,5,0,Fog/Smog/Smoke,0
Alabama,10172,107,0,10,4,2015,Friday,15,40,Clear,0
Alabama,10173,109,0,11,4,2015,Saturday,23,40,Clear,1
Alabama,10174,121,0,15,4,2015,Wednesday,5,10,Clear,0
Alabama,10175,117,0,15,4,2015,Wednesday,11,50,Clear,0
Alabama,10176,19,1852,16,4,2015,Thursday,7,20,Cloudy,0
Alabama,10177,5,720,16,4,2015,Thursday,20,5,Rain,0
Alabama,10178,73,330,18,4,2015,Saturday,21,49,Rain,0
Alabama,10179,95,50,18,4,2015,Saturday,10,22,Cloudy,0
Alabama,10180,21,0,18,4,2015,Saturday,20,25,Cloudy,0
Alabama,10181,15,0,19,4,2015,Sunday,3,25,Cloudy,0
Alabama,10182,115,0,19,4,2015,Sunday,9,0,Cloudy,0
Alabama,10183,47,2760,17,4,2015,Friday,20,15,Cloudy,0
Alabama,10184,43,0,21,4,2015,Tuesday,15,0,Clear,1
Alabama,10185,73,330,22,4,2015,Wednesday,14,38,Clear,0
Alabama,10186,9,0,24,4,2015,Friday,13,40,Clear,0
Alabama,10187,125,0,24,4,2015,Friday,20,30,Clear,1
Alabama,10188,73,3080,25,4,2015,Saturday,12,50,Clear,1
Alabama,10189,71,0,26,4,2015,Sunday,10,30,Clear,0
Alabama,10190,13,0,8,4,2015,Wednesday,13,30,Clear,0
Alabama,10191,53,0,25,4,2015,Saturday,4,20,Rain,1
Alabama,10192,101,2130,28,4,2015,Tuesday,8,11,Clear,0
Alabama,10193,89,0,17,4,2015,Friday,11,10,Rain,0
Alabama,10194,3,1011,17,4,2015,Friday,18,39,Clear,1
Alabama,10195,73,350,22,4,2015,Wednesday,9,36,Clear,1
Alabama,10196,19,0,24,4,2015,Friday,20,35,Cloudy,1
Alabama,10197,125,3050,25,4,2015,Saturday,20,38,Cloudy,1
Alabama,10198,123,0,27,4,2015,Monday,9,45,Clear,0
Alabama,10199,43,0,27,4,2015,Monday,10,25,Cloudy,0
Alabama,10200,79,0,15,4,2015,Wednesday,11,0,Clear,0
Alabama,10201,95,400,30,4,2015,Thursday,23,0,Clear,0
Alabama,10202,3,0,23,4,2015,Thursday,20,57,Clear,0
Alabama,10203,121,0,25,4,2015,Saturday,0,25,Cloudy,1
Alabama,10204,53,0,1,5,2015,Friday,18,15,Clear,0
Alabama,10205,73,1716,5,5,2015,Tuesday,0,17,Clear,1
Alabama,10206,101,2130,2,4,2015,Thursday,19,32,Clear,0
Alabama,10207,17,3111,16,4,2015,Thursday,20,6,Rain,0
Alabama,10208,125,3050,20,4,2015,Monday,23,0,Cloudy,0
Alabama,10209,77,1200,23,4,2015,Thursday,13,9,Clear,0
Alabama,10210,17,3111,25,4,2015,Saturday,19,0,Cloudy,0
Alabama,10211,81,0,30,4,2015,Thursday,9,27,Clear,0
Alabama,10212,89,0,30,4,2015,Thursday,17,10,Clear,0
Alabama,10213,107,0,30,4,2015,Thursday,21,25,Clear,0
Alabama,10214,55,1370,30,4,2015,Thursday,20,35,Clear,1
Alabama,10215,73,350,2,5,2015,Saturday,22,30,Clear,0
Alabama,10216,97,2550,3,5,2015,Sunday,17,43,Clear,0
Alabama,10217,125,3050,4,5,2015,Monday,0,50,Clear,1
Alabama,10218,87,3070,4,5,2015,Monday,11,0,Clear,0
Alabama,10219,1,0,4,5,2015,Monday,15,50,Clear,0
Alabama,10220,71,0,4,5,2015,Monday,19,18,Clear,0
Alabama,10221,77,0,5,5,2015,Tuesday,14,45,Clear,0
Alabama,10222,127,0,6,5,2015,Wednesday,7,35,Clear,0
Alabama,10223,3,1210,1,5,2015,Friday,21,7,Clear,1
Alabama,10224,33,2190,4,5,2015,Monday,21,6,Clear,0
Alabama,10225,101,2130,2,4,2015,Thursday,22,23,Clear,1
Alabama,10226,33,0,8,5,2015,Friday,9,20,Clear,0
Alabama,10227,125,3050,8,5,2015,Friday,11,15,Clear,0
Alabama,10228,77,0,10,5,2015,Sunday,16,35,Clear,0
Alabama,10229,15,100,4,5,2015,Monday,6,59,Clear,0
Alabama,10230,21,700,24,5,2015,Sunday,9,25,Clear,0
Alabama,10231,17,3111,23,5,2015,Saturday,20,0,Clear,0
Alabama,10232,101,2130,11,5,2015,Monday,20,49,Clear,0
Alabama,10233,115,0,14,5,2015,Thursday,17,17,Clear,0
Alabama,10234,115,0,11,5,2015,Monday,16,0,Clear,0
Alabama,10235,101,2130,8,5,2015,Friday,19,33,Clear,0
Alabama,10236,39,0,11,4,2015,Saturday,13,10,Cloudy,0
Alabama,10237,31,0,3,5,2015,Sunday,2,0,Clear,1
Alabama,10238,33,0,3,5,2015,Sunday,16,55,Clear,1
Alabama,10239,61,0,9,5,2015,Saturday,18,55,Clear,0
Alabama,10240,53,0,11,5,2015,Monday,8,30,Clear,0
Alabama,10241,29,0,11,5,2015,Monday,12,30,Clear,0
Alabama,10242,113,2440,10,5,2015,Sunday,0,10,Clear,1
Alabama,10243,113,0,9,5,2015,Saturday,15,7,Clear,0
Alabama,10244,97,0,7,5,2015,Thursday,6,40,Clear,0
Alabama,10245,103,0,14,5,2015,Thursday,14,30,Clear,1
Alabama,10246,131,2490,14,5,2015,Thursday,21,58,Cloudy,0
Alabama,10247,97,2550,15,5,2015,Friday,21,31,Rain,0
Alabama,10248,19,0,15,5,2015,Friday,9,30,Clear,0
Alabama,10249,69,0,18,5,2015,Monday,1,55,Clear,0
Alabama,10250,67,0,18,5,2015,Monday,6,53,Clear,0
Alabama,10251,19,1852,18,5,2015,Monday,15,18,Clear,0
Alabama,10252,15,2370,20,5,2015,Wednesday,5,57,Clear,0
Alabama,10253,55,2822,20,5,2015,Wednesday,6,3,Clear,1
Alabama,10254,115,0,20,5,2015,Wednesday,17,15,Clear,0
Alabama,10255,61,0,20,5,2015,Wednesday,19,50,Rain,1
Alabama,10256,97,2100,20,5,2015,Wednesday,20,41,Clear,0
Alabama,10257,77,0,21,5,2015,Thursday,13,30,Cloudy,0
Alabama,10258,117,530,21,5,2015,Thursday,14,0,Cloudy,0
Alabama,10259,59,3130,22,5,2015,Friday,16,55,Clear,0
Alabama,10260,121,0,22,5,2015,Friday,19,51,Clear,0
Alabama,10261,27,0,24,5,2015,Sunday,18,15,Clear,1
Alabama,10262,125,0,24,5,2015,Sunday,20,30,Cloudy,1
Alabama,10263,131,0,25,5,2015,Monday,11,40,Rain,0
Alabama,10264,113,2440,20,5,2015,Wednesday,22,7,Clear,0
Alabama,10265,15,2370,27,5,2015,Wednesday,5,25,Cloudy,0
Alabama,10266,97,690,26,5,2015,Tuesday,14,15,Clear,0
Alabama,10267,73,350,25,5,2015,Monday,15,5,Cloudy,0
Alabama,10268,3,1493,27,5,2015,Wednesday,9,0,Cloudy,0
Alabama,10269,77,0,28,5,2015,Thursday,18,5,Clear,0
Alabama,10270,89,1730,29,5,2015,Friday,20,17,Cloudy,1
Alabama,10271,9,2811,29,5,2015,Friday,22,16,Clear,0
Alabama,10272,73,350,31,5,2015,Sunday,18,48,Cloudy,1
Alabama,10273,77,0,30,5,2015,Saturday,17,40,Clear,0
Alabama,10274,79,0,31,5,2015,Sunday,19,0,Clear,0
Alabama,10275,81,0,24,5,2015,Sunday,14,0,Clear,1
Alabama,10276,113,0,24,5,2015,Sunday,19,42,Clear,1
Alabama,10277,77,0,3,6,2015,Wednesday,17,25,Clear,0
Alabama,10278,89,1730,4,6,2015,Thursday,3,29,Cloudy,0
Alabama,10279,115,0,11,6,2015,Thursday,13,21,Rain,0
Alabama,10280,97,2716,15,6,2015,Monday,21,52,Clear,1
Alabama,10281,115,0,16,6,2015,Tuesday,9,25,Clear,0
Alabama,10282,3,1210,28,4,2015,Tuesday,20,10,Cloudy,0
Alabama,10283,97,0,23,5,2015,Saturday,5,0,Clear,1
Alabama,10284,43,0,28,5,2015,Thursday,12,30,Clear,0
Alabama,10285,105,0,28,5,2015,Thursday,15,30,Cloudy,0
Alabama,10286,115,2410,30,5,2015,Saturday,14,36,Clear,0
Alabama,10287,67,10,1,6,2015,Monday,7,10,Fog/Smog/Smoke,0
Alabama,10288,11,0,30,5,2015,Saturday,19,50,Clear,0
Alabama,10289,103,1130,2,6,2015,Tuesday,21,10,Clear,0
Alabama,10290,115,0,3,6,2015,Wednesday,16,23,Clear,0
Alabama,10291,125,0,3,6,2015,Wednesday,23,50,Clear,0
Alabama,10292,33,2190,5,6,2015,Friday,3,28,Clear,0
Alabama,10293,71,2850,6,6,2015,Saturday,19,32,Clear,0
Alabama,10294,95,0,8,6,2015,Monday,0,25,Clear,0
Alabama,10295,101,2130,8,6,2015,Monday,5,20,Unknown,0
Alabama,10296,125,0,9,6,2015,Tuesday,19,10,Cloudy,1
Alabama,10297,109,0,10,6,2015,Wednesday,12,40,Rain,0
Alabama,10298,69,930,11,6,2015,Thursday,15,57,Cloudy,0
Alabama,10299,51,0,12,6,2015,Friday,18,45,Rain,1
Alabama,10300,101,2130,14,6,2015,Sunday,2,55,Clear,0
Alabama,10301,97,2713,12,6,2015,Friday,1,15,Cloudy,1
Alabama,10302,43,0,16,6,2015,Tuesday,2,10,Clear,1
Alabama,10303,13,1460,14,6,2015,Sunday,2,23,Clear,2
Alabama,10304,97,2100,6,6,2015,Saturday,20,30,Cloudy,1
Alabama,10305,43,0,19,6,2015,Friday,16,9,Clear,0
Alabama,10306,43,9997,21,6,2015,Sunday,15,7,Clear,0
Alabama,10307,97,0,15,6,2015,Monday,12,15,Clear,1
Alabama,10308,73,350,14,6,2015,Sunday,4,21,Clear,0
Alabama,10309,127,0,19,6,2015,Friday,5,40,Clear,0
Alabama,10310,125,3050,20,6,2015,Saturday,8,15,Cloudy,0
Alabama,10311,73,330,21,6,2015,Sunday,2,3,Cloudy,1
Alabama,10312,29,1620,20,6,2015,Saturday,2,15,Clear,1
Alabama,10313,95,400,23,6,2015,Tuesday,14,52,Clear,1
Alabama,10314,43,830,14,6,2015,Sunday,17,33,Clear,1
Alabama,10315,119,0,5,1,2015,Monday,18,30,Clear,0
Alabama,10316,73,0,28,5,2015,Thursday,18,32,Rain,0
Alabama,10317,73,0,1,7,2015,Wednesday,14,30,Rain,0
Alabama,10318,53,0,10,6,2015,Wednesday,2,10,Cloudy,0
Alabama,10319,39,0,16,6,2015,Tuesday,20,53,Clear,0
Alabama,10320,69,0,17,6,2015,Wednesday,10,45,Clear,0
Alabama,10321,3,0,17,6,2015,Wednesday,17,45,Clear,0
Alabama,10322,109,0,20,6,2015,Saturday,12,15,Clear,0
Alabama,10323,3,0,21,6,2015,Sunday,3,56,Clear,0
Alabama,10324,63,1070,21,6,2015,Sunday,18,51,Clear,0
Alabama,10325,33,0,23,6,2015,Tuesday,12,35,Clear,0
Alabama,10326,75,0,25,6,2015,Thursday,7,40,Clear,0
Alabama,10327,55,0,25,6,2015,Thursday,20,25,Clear,1
Alabama,10328,45,0,26,6,2015,Friday,1,15,Clear,1
Alabama,10329,15,100,26,6,2015,Friday,5,38,Clear,0
Alabama,10330,5,0,26,6,2015,Friday,9,50,Clear,0
Alabama,10331,59,2690,26,6,2015,Friday,21,3,Cloudy,0
Alabama,10332,71,2850,25,6,2015,Thursday,6,1,Fog/Smog/Smoke,0
Alabama,10333,69,0,27,6,2015,Saturday,17,0,Rain,0
Alabama,10334,41,0,27,6,2015,Saturday,13,5,Cloudy,1
Alabama,10335,103,0,28,6,2015,Sunday,6,20,Clear,1
Alabama,10336,107,0,28,6,2015,Sunday,18,40,Clear,0
Alabama,10337,103,0,1,7,2015,Wednesday,15,30,Cloudy,0
Alabama,10338,131,0,2,7,2015,Thursday,7,0,Clear,0
Alabama,10339,115,0,2,7,2015,Thursday,10,12,Cloudy,0
Alabama,10340,49,0,2,7,2015,Thursday,11,25,Cloudy,0
Alabama,10341,119,0,13,6,2015,Saturday,0,40,Cloudy,0
Alabama,10342,107,0,3,7,2015,Friday,18,5,Cloudy,0
Alabama,10343,97,2100,2,7,2015,Thursday,13,40,Clear,0
Alabama,10344,73,1716,1,7,2015,Wednesday,17,25,Clear,0
Alabama,10345,97,0,30,6,2015,Tuesday,6,4,Clear,0
Alabama,10346,55,1280,2,5,2015,Saturday,0,22,Clear,1
Alabama,10347,3,0,21,5,2015,Thursday,10,45,Clear,0
Alabama,10348,53,0,7,6,2015,Sunday,15,54,Clear,1
Alabama,10349,79,0,17,6,2015,Wednesday,14,30,Clear,0
Alabama,10350,89,1730,22,6,2015,Monday,22,27,Clear,0
Alabama,10351,51,0,1,7,2015,Wednesday,19,50,Clear,1
Alabama,10352,89,0,2,7,2015,Thursday,18,26,Clear,0
Alabama,10353,51,0,2,7,2015,Thursday,19,30,Clear,1
Alabama,10354,51,0,4,7,2015,Saturday,17,40,Rain,0
Alabama,10355,119,0,4,7,2015,Saturday,19,0,Cloudy,1
Alabama,10356,89,0,5,7,2015,Sunday,2,35,Cloudy,0
Alabama,10357,101,2130,7,7,2015,Tuesday,22,18,Clear,0
Alabama,10358,99,1240,2,7,2015,Thursday,21,43,Clear,0
Alabama,10359,77,1865,7,7,2015,Tuesday,14,8,Clear,0
Alabama,10360,117,2405,8,7,2015,Wednesday,6,35,Clear,0
Alabama,10361,129,0,9,7,2015,Thursday,23,0,Clear,0
Alabama,10362,101,2130,28,7,2015,Tuesday,3,12,Clear,1
Alabama,10363,117,47,28,7,2015,Tuesday,23,5,Clear,0
Alabama,10364,73,1110,29,7,2015,Wednesday,5,21,Clear,0
Alabama,10365,83,170,29,7,2015,Wednesday,21,49,Clear,0
Alabama,10366,75,0,20,7,2015,Monday,11,20,Clear,0
Alabama,10367,97,2550,23,7,2015,Thursday,13,58,Clear,1
Alabama,10368,125,3050,25,7,2015,Saturday,0,10,Clear,1
Alabama,10369,47,0,26,7,2015,Sunday,2,30,Clear,0
Alabama,10370,73,3125,28,7,2015,Tuesday,9,10,Cloudy,0
Alabama,10371,39,0,28,7,2015,Tuesday,10,58,Clear,0
Alabama,10372,129,0,28,7,2015,Tuesday,20,55,Clear,2
Alabama,10373,15,100,19,7,2015,Sunday,8,10,Cloudy,0
Alabama,10374,83,0,31,7,2015,Friday,17,52,Clear,0
Alabama,10375,97,0,7,7,2015,Tuesday,18,30,Clear,0
Alabama,10376,73,1716,1,7,2015,Wednesday,7,16,Fog/Smog/Smoke,0
Alabama,10377,69,0,22,5,2015,Friday,6,30,Clear,0
Alabama,10378,1,0,12,6,2015,Friday,7,20,Rain,1
Alabama,10379,83,0,2,7,2015,Thursday,15,25,Cloudy,0
Alabama,10380,31,1030,1,7,2015,Wednesday,0,55,Clear,0
Alabama,10381,13,0,3,7,2015,Friday,22,50,Cloudy,0
Alabama,10382,115,0,5,7,2015,Sunday,15,35,Cloudy,0
Alabama,10383,97,0,7,7,2015,Tuesday,17,30,Clear,1
Alabama,10384,73,0,7,7,2015,Tuesday,17,15,Clear,0
Alabama,10385,113,0,8,7,2015,Wednesday,10,18,Clear,0
Alabama,10386,109,0,9,7,2015,Thursday,17,30,Rain,0
Alabama,10387,117,0,9,7,2015,Thursday,19,38,Clear,0
Alabama,10388,121,0,10,7,2015,Friday,17,20,Rain,0
Alabama,10389,73,350,14,6,2015,Sunday,1,15,Clear,0
Alabama,10390,13,0,11,7,2015,Saturday,22,25,Cloudy,0
Alabama,10391,127,1780,11,7,2015,Saturday,12,35,Clear,0
Alabama,10392,41,0,14,7,2015,Tuesday,19,30,Cloudy,0
Alabama,10393,73,350,17,7,2015,Friday,10,50,Clear,0
Alabama,10394,109,0,18,7,2015,Saturday,2,10,Cloudy,1
Alabama,10395,97,0,18,7,2015,Saturday,12,45,Clear,0
Alabama,10396,83,0,18,7,2015,Saturday,17,20,Clear,0
Alabama,10397,101,0,19,7,2015,Sunday,5,33,Clear,0
Alabama,10398,9,0,19,7,2015,Sunday,14,45,Rain,1
