STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,"756,863 ","883,457 ","920,673 ","1,012,770 ","1,065,230 ","1,166,534 ","1,191,856 ","1,251,623 ","1,315,859 ","1,337,325 ","1,409,845 ","1,480,034 "," 1,455,539 ","1,531,296 ","1,613,746 ","1,567,088 ","1,639,057 ","1,792,524 ","1,867,273 ","1,925,204 ","2,015,964 ","2,054,453 ","2,072,636 ","2,151,407 ","2,217,934 ","2,358,860 ","2,440,554 ","2,487,374 ","2,529,740 ","2,550,003 ","2,645,011 ","2,721,609 ","2,723,416 ","2,741,333 ","2,799,441 ","2,860,835 ","2,907,494 ","2,949,234 ","3,009,476 ","3,136,819 ","3,097,915 ","3,361,936 ","3,213,900 ","3,233,818 ","3,274,392 ","3,308,006 ","3,344,125 ","3,377,470 ","3,346,622 ","3,177,783 ","3,194,601 ","3,382,451 ","3,451,966 ","3,523,311 ","3,552,187 ","3,594,251 ","3,709,594 ","3,694,290 ","3,737,847 ","3,786,650 ","3,904,685 ","3,918,305 ","3,856,604 ","4,102,154 ","4,140,105 ","4,142,997 ","4,185,752 ","4,264,875 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ,"1,596,999 ","1,772,912 ","1,749,864 ","1,876,446 ","1,862,232 ","1,969,395 ","2,002,899 ","2,108,890 ","2,118,815 ","2,202,539 ","2,505,988 ","2,609,751 "," 2,435,296 ","2,518,284 ","2,448,517 ","2,549,726 ","2,635,085 ","2,738,780 ","2,790,546 ","2,850,027 ","2,900,773 ","2,987,565 ","3,060,240 ","3,141,000 ","3,209,000 ","3,567,311 ","3,554,287 ","3,643,688 ","3,652,145 ","3,726,326 ","3,700,000 ","3,640,202 ","3,593,339 ","3,641,141 ","3,678,678 ","3,831,746 ","3,792,074 ","3,922,078 ","3,944,206 ","4,249,814 ","4,257,842 ","4,229,311 ","4,205,850 ","4,170,038 ","4,161,137 ","4,471,529 ","4,211,029 ","4,355,014 ","4,393,429 ","4,394,355 ","4,421,054 ","4,489,695 ","4,610,666 ","4,686,416 ","4,645,705 ","4,645,857 ","4,612,829 ","4,711,735 ","4,699,301 ","4,674,058 ","4,629,636 ","4,592,500 ","4,683,323 ","4,733,936 ","4,765,586 ","4,765,586 ","5,040,662 ","5,040,662 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,"2,741,414 ","2,885,869 ","3,002,527 ","3,161,880 ","3,265,395 ","3,145,948 ","3,195,985 ","3,272,496 ","3,885,276 ","3,959,338 ","4,040,423 ","4,077,758 "," 4,113,525 ","4,159,731 ","3,977,165 ","4,025,133 ","4,306,015 ","4,417,776 ","4,513,847 ","4,572,481 ","5,009,251 ","5,127,129 ","5,213,390 ","5,311,836 ","5,436,121 ","5,532,599 ","5,949,949 ","6,049,944 ","6,150,000 ","6,250,000 ","6,350,000 ","6,400,000 ","6,450,000 ","6,390,130 ","6,344,657 ","6,200,076 ","6,254,118 ","6,332,878 ","6,378,723 ","6,388,518 ","6,422,031 ","6,440,390 ","6,433,993 ","6,480,686 ","6,527,401 ","6,601,924 ","6,658,750 ","6,716,789 ","6,751,267 ","6,802,704 ","6,863,199 ","6,925,246 ","6,976,982 ","7,025,357 ","7,065,438 ","7,103,404 ","7,105,272 ","7,112,992 ","7,058,955 ","7,118,378 ","7,082,820 ","7,083,107 ","7,059,509 ","7,018,713 ","6,986,587 ","7,046,433 ","7,104,484 ","7,074,674 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"1,759,593 ","1,708,275 ","1,675,010 ","1,654,019 ","1,670,011 ","1,763,500 ","1,797,759 ","1,595,633 ","1,546,510 ","1,708,585 ","1,756,215 ","1,792,984 "," 1,836,252 ","1,862,861 ","1,876,073 ","1,898,554 ","1,973,439 ","2,036,199 ","2,073,939 ","2,078,425 ","2,221,474 ","2,309,739 ","2,368,059 ","2,336,027 ","2,384,410 ","2,402,550 ","2,416,869 ","2,571,540 ","2,598,123 ","2,234,646 ","2,286,218 ","2,335,935 ","2,382,897 ","2,397,077 ","2,373,908 ","2,397,204 ","2,473,073 ","2,455,826 ","2,471,180 ","2,478,925 ","2,429,251 ","2,528,941 ","2,545,936 ","2,625,071 ","2,637,458 ","2,705,701 ","2,761,121 ","2,830,232 ","2,839,291 ","2,868,002 ","2,907,027 ","2,940,789 ","2,961,236 ","2,997,058 ","3,035,553 ","3,083,007 ","3,083,757 ","3,086,610 ","3,149,109 ","3,190,183 ","3,245,441 ","3,281,463 ","3,306,139 ","3,321,760 ","3,330,725 ","3,357,468 ","3,351,430 ","3,377,910 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"526,346 ","569,349 ","527,592 ","564,735 ","592,483 ","682,218 ","688,824 ","711,822 ","712,479 ","726,376 ","723,255 ","747,442 "," 779,513 ","808,930 ","808,199 ","853,041 ","887,201 ","870,689 ","971,762 ","1,009,644 ","1,319,836 ","1,236,795 ","1,308,579 ","1,382,030 ","1,379,109 ","1,378,308 ","1,456,039 ","1,505,966 ","1,572,875 ","1,588,158 ","1,582,281 ","1,587,011 ","1,699,197 ","1,734,173 ","1,802,952 ","1,786,211 ","1,810,847 ","1,744,188 ","1,775,864 ","1,813,559 ","1,841,840 ","1,884,544 ","1,924,696 ","1,628,169 ","1,640,301 ","1,671,690 ","1,693,159 ","1,700,132 ","1,722,513 ","1,758,293 ","1,788,189 ","2,007,746 ","1,859,487 ","1,861,496 ","1,885,974 ","1,896,008 ","1,965,464 ","1,929,636 ","1,926,969 ","1,935,764 ","1,930,603 ","1,928,487 ","1,926,603 ","1,957,980 ","1,968,907 ","1,977,679 ","1,988,396 ","2,018,862 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"1,479,341 ","1,770,607 ","1,951,557 ","1,910,818 ","1,980,223 ","1,972,489 ","2,054,641 ","2,084,771 ","1,956,743 ","1,970,530 ","1,987,456 ","2,084,782 "," 2,156,307 ","2,169,485 ","2,268,392 ","2,339,742 ","2,405,521 ","2,296,416 ","2,499,627 ","2,449,681 ","2,528,167 ","2,568,633 ","2,719,453 ","2,775,589 ","2,874,676 ","2,908,549 ","2,971,765 ","3,033,752 ","3,100,117 ","3,163,722 ","3,213,455 ","3,244,744 ","3,280,679 ","3,297,491 ","3,322,500 ","3,354,496 ","3,393,353 ","3,430,062 ","3,471,458 ","3,511,676 ","3,536,684 ","3,688,081 ","3,732,342 ","3,454,414 ","3,472,140 ","3,382,046 ","3,587,086 ","3,749,348 ","3,744,320 ","3,798,096 ","3,839,764 ","3,856,271 ","3,862,300 ","3,931,448 ","3,965,610 ","4,047,652 ","4,135,394 ","4,139,632 ","4,161,957 ","4,196,682 ","4,217,910 ","4,246,249 ","4,277,037 ","4,288,488 ","4,280,438 ","4,295,224 ","4,213,302 ","4,249,579 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"259,322 ","272,196 ","280,333 ","285,178 ","304,785 ","319,065 ","330,662 ","347,202 ","352,564 ","355,180 ","352,617 ","356,097 "," 367,551 ","373,192 ","401,350 ","380,949 ","382,123 ","394,473 ","391,198 ","392,308 ","397,784 ","409,356 ","421,468 ","444,276 ","462,047 ","494,640 ","514,426 ","535,003 ","515,643 ","580,000 ","583,243 ","598,982 ","483,866 ","491,879 ","488,603 ","473,535 ","582,085 ","591,222 ","604,051 ","534,457 ","597,638 ","603,614 ","580,313 ","597,037 ","530,744 ","525,780 ","573,749 ","573,754 ","662,418 ","646,512 ","660,151 ","678,899 ","683,351 ","694,743 ","704,509 ","712,880 ","715,512 ","723,976 ","735,753 ","738,982 ","737,964 ","743,611 ","752,483 ","757,812 ","766,716 ","768,703 ","781,427 ","797,145 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"694,684 ","684,780 ","716,281 ","715,627 ","765,461 ","767,474 ","789,552 ","793,173 ","802,253 ","854,885 ","888,018 ","895,933 "," 911,061 ","921,147 ","877,385 ","893,869 ","895,791 ","901,656 ","917,797 ","886,464 ","898,232 ","934,247 ","1,033,162 ","1,007,000 ","1,086,797 ","1,044,347 ","1,063,910 ","1,025,990 ","1,025,244 ","1,060,748 ","1,076,458 ","1,093,255 ","1,087,997 ","1,084,396 ","1,094,680 ","1,107,545 ","1,089,797 ","1,097,585 ","1,069,148 ","1,088,104 ","1,064,796 ","1,088,677 ","1,068,695 ","1,128,888 ","1,141,134 ","1,146,447 ","1,151,764 ","1,159,831 ","1,178,880 ","1,185,794 ","1,202,517 ","1,195,219 ","1,267,284 ","1,275,206 ","1,311,332 ","1,315,819 ","1,320,617 ","1,327,916 ","1,330,698 ","1,346,406 ","1,349,295 ","1,351,516 ","1,356,377 ","1,363,596 ","1,374,529 ","1,383,693 ","1,394,301 ","1,404,479 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"88,176 ","90,433 ","103,439 ","107,348 ","122,674 ","134,022 ","143,393 ","162,932 ","170,920 ","150,181 ","156,320 ","166,535 "," 174,568 ","178,486 ","205,885 ","227,075 ","266,550 ","287,094 ","337,856 ","327,467 ","334,833 ","336,574 ","353,978 ","369,595 ","388,842 ","398,003 ","418,704 ","449,764 ","478,818 ","527,118 ","564,789 ","625,673 ","642,155 ","654,658 ","676,074 ","681,256 ","699,077 ","707,549 ","719,058 ","749,037 ","794,067 ","846,410 ","908,684 ","957,421 ","976,214 ","1,007,191 ","1,044,609 ","1,116,795 ","1,186,097 ","1,245,905 ","1,322,014 ","1,370,643 ","1,420,714 ","1,460,903 ","1,487,899 ","1,548,097 ","1,596,353 ","1,626,021 ","1,661,588 ","1,678,550 ","1,690,431 ","1,691,318 ","1,700,829 ","1,728,060 ","1,756,095 ","1,796,443 ","1,835,511 ","1,872,376 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"206,398 ","167,980 ","224,243 ","233,835 ","245,739 ","235,457 ","281,277 ","274,992 ","292,089 ","279,786 ","297,698 ","311,780 "," 333,407 ","343,814 ","361,547 ","369,671 ","386,859 ","379,075 ","371,412 ","390,310 ","401,968 ","426,739 ","441,324 ","461,124 ","505,322 ","525,017 ","534,094 ","561,197 ","584,143 ","613,402 ","637,251 ","652,411 ","665,085 ","677,478 ","697,012 ","715,708 ","737,852 ","762,879 ","785,591 ","798,336 ","809,389 ","843,470 ","847,564 ","850,136 ","868,560 ","877,471 ","901,104 ","915,451 ","883,064 ","907,479 ","918,563 ","929,630 ","941,829 ","954,910 ","967,770 ","985,775 ","998,214 ","1,027,582 ","1,026,546 ","1,031,158 ","1,034,329 ","1,037,083 ","1,056,889 ","1,064,604 ","1,061,433 ","1,071,963 ","1,074,766 ","1,096,234 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"1,788,578 ","1,890,620 ","1,985,213 ","2,082,495 ","2,190,164 ","2,278,551 ","2,385,533 ","2,461,004 ","2,419,976 ","2,461,654 ","2,573,607 ","2,756,932 "," 2,968,641 ","3,044,164 ","3,168,858 ","3,290,412 ","3,397,601 ","3,528,532 ","3,596,637 ","3,732,742 ","3,868,492 ","4,028,832 ","4,073,926 ","4,124,513 ","4,342,059 ","4,216,959 ","4,323,242 ","4,215,807 ","4,294,084 ","4,496,464 ","4,374,505 ","4,927,909 ","5,154,921 ","5,337,632 ","5,458,667 ","5,680,087 ","5,793,689 ","5,904,000 ","6,022,080 ","5,451,556 ","5,615,102 ","5,584,727 ","5,659,994 ","5,285,107 ","5,458,841 ","5,433,383 ","5,403,671 ","5,485,980 ","5,576,064 ","5,563,492 ","5,550,772 ","5,654,973 ","5,715,089 ","5,711,794 ","5,728,975 ","5,799,532 ","5,870,720 ","5,834,227 ","5,782,155 ","5,782,155 ","5,923,538 ","5,952,583 ","5,977,458 ","6,039,623 ","6,081,386 ","6,152,634 ","6,179,318 ","6,238,436 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"258,397 ","290,452 ","322,218 ","344,460 ","372,434 ","371,066 ","397,291 ","410,376 ","444,928 ","462,606 ","498,735 ","497,784 "," 482,876 ","503,591 ","529,791 ","536,575 ","511,599 ","534,565 ","548,684 ","539,613 ","553,201 ","576,568 ","600,122 ","637,291 ","665,839 ","701,660 ","735,172 ","753,585 ","774,436 ","803,352 ","843,401 ","854,562 ","914,330 ","929,770 ","933,680 ","949,393 ","977,880 ","1,024,085 ","1,037,634 ","1,047,261 ","1,062,806 ","1,073,816 ","1,081,437 ","1,126,193 ","1,148,230 ","1,167,462 ","1,173,442 ","1,179,256 ","1,194,284 ","1,203,869 ","1,221,927 ","1,239,043 ","1,231,701 ","1,243,894 ","1,236,488 ","1,271,365 ","1,304,721 ","1,338,246 ","1,365,249 ","1,365,249 ","1,377,983 ","1,405,926 ","1,418,641 ","1,430,475 ","1,456,500 ","1,444,857 ","1,467,782 ","1,521,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York  ,"4,976,615 ","5,289,991 ","5,571,739 ","5,633,721 ","5,859,431 ","6,061,161 ","6,143,862 ","6,399,684 ","6,127,811 ","6,688,223 ","6,885,480 ","7,062,287 "," 7,089,733 ","7,266,977 ","7,664,391 ","7,436,470 ","7,402,233 ","7,609,355 ","7,903,004 ","7,983,361 ","7,991,023 ","8,055,785 ","8,277,914 ","8,450,000 ","8,545,595 ","8,730,473 ","8,832,000 ","8,935,093 ","8,970,091 ","9,125,934 ","9,186,446 ","9,240,059 ","9,248,668 ","8,992,488 ","9,605,780 ","9,715,670 ","9,841,209 ","9,947,494 ","10,029,037 ","10,143,464 ","10,177,995 ","10,254,229 ","10,266,741 ","10,359,792 ","10,326,635 ","10,376,615 ","10,473,731 ","10,483,665 ","10,529,855 ","10,554,098 ","10,626,625 ","10,871,344 ","11,014,805 ","10,913,850 ","11,356,988 ","11,246,675 ","11,071,911 ","11,146,367 ","11,369,280 ","11,284,545 ","11,329,488 ","11,285,830 ","11,210,783 ","11,248,617 ","11,210,783 ","11,318,198 ","11,689,839 ","11,947,568 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"1,243,700 ","1,334,222 ","1,449,316 ","1,504,822 ","1,596,545 ","1,665,280 ","1,720,199 ","1,794,345 ","1,844,605 ","1,885,068 ","1,941,163 ","2,000,284 "," 2,062,764 ","2,116,205 ","2,283,576 ","2,263,905 ","2,339,864 ","2,430,184 ","2,511,867 ","2,547,927 ","2,635,267 ","2,742,707 ","2,834,862 ","2,918,709 ","3,060,227 ","3,161,146 ","3,294,096 ","3,403,213 ","3,490,420 ","3,599,341 ","3,692,110 ","3,777,067 ","3,830,684 ","3,903,103 ","3,966,351 ","4,049,269 ","4,122,866 ","4,244,176 ","4,318,723 ","4,421,934 ","4,484,107 ","4,550,644 ","4,547,443 ","4,655,434 ","4,724,661 ","4,840,104 ","5,028,421 ","5,187,288 ","5,399,301 ","5,534,284 ","5,491,228 ","5,690,494 ","5,884,651 ","5,943,288 ","6,014,782 ","6,122,137 ","6,227,817 ","6,315,667 ","6,383,542 ","6,457,000 ","6,504,269 ","6,536,601 ","6,569,341 ","6,677,693 ","6,822,902 ","7,025,333 ","7,160,621 ","7,267,042 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,"298,541 ","290,840 ","307,653 ","315,542 ","325,294 ","311,791 ","318,134 ","326,618 ","346,749 ","357,665 ","358,439 ","353,259 "," 359,764 ","362,797 ","368,883 ","380,812 ","363,106 ","359,559 ","333,432 ","332,731 ","328,416 ","330,905 ","341,056 ","347,310 ","353,574 ","361,720 ","372,554 ","385,661 ","394,940 ","403,050 ","413,823 ","418,758 ","424,952 ","428,006 ","431,740 ","434,173 ","443,002 ","438,282 ","434,046 ","431,366 ","425,202 ","424,898 ","425,935 ","433,117 ","437,942 ","439,330 ","448,781 ","449,225 ","452,163 ","454,933 ","457,890 ","458,944 ","455,921 ","461,090 ","459,791 ","461,780 ","466,701 ","468,711 ","470,731 ","473,019 ","476,561 ","483,097 ","490,146 ","502,807 ","513,838 ","527,541 ","545,027 ","555,935 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"3,131,331 ","3,377,155 ","3,553,221 ","3,801,967 ","3,888,528 ","4,085,450 ","4,218,899 ","4,385,697 ","4,404,371 ","4,536,679 ","4,606,361 ","4,694,374 "," 4,918,589 ","5,065,703 ","5,099,961 ","5,295,300 ","5,499,500 ","5,510,638 ","5,726,270 ","5,860,173 ","5,828,160 ","6,104,922 ","5,947,672 ","6,140,623 ","6,294,028 ","6,781,081 ","7,545,084 ","8,107,181 ","8,505,035 ","8,178,585 ","7,515,194 ","7,031,428 ","6,336,612 ","7,668,931 ","7,397,289 ","7,389,156 ","7,336,386 ","7,386,538 ","7,402,416 ","7,378,737 ","7,369,821 ","7,427,409 ","7,470,352 ","9,168,860 ","7,634,742 ","7,142,173 ","7,772,757 ","7,852,548 ","8,185,824 ","7,941,479 ","8,045,787 ","8,205,524 ","7,736,115 ","7,707,870 ","7,656,362 ","7,675,007 ","7,707,842 ","7,739,410 ","7,975,774 ","7,962,266 ","7,937,498 ","7,963,372 ","7,982,149 ","8,006,183 ","8,030,421 ","7,915,907 ","7,923,439 ","7,974,951 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"938,482 ","929,850 ","1,005,932 ","945,131 ","975,991 ","1,048,925 ","1,092,123 ","1,099,017 ","1,075,262 ","1,134,611 ","1,200,268 ","1,223,151 "," 1,258,393 ","1,290,973 ","1,315,000 ","1,365,972 ","1,389,738 ","1,420,966 ","1,465,389 ","1,461,398 ","1,492,489 ","1,621,202 ","1,656,994 ","1,630,647 ","1,673,664 ","1,711,805 ","1,720,912 ","1,785,549 ","1,874,891 ","1,874,344 ","1,899,428 ","1,965,149 ","1,952,975 ","2,039,398 ","2,174,350 ","2,205,606 ","2,243,223 ","2,137,925 ","2,163,148 ","2,219,296 ","2,292,867 ","2,277,540 ","2,283,068 ","2,286,983 ","2,336,410 ","2,343,555 ","2,155,558 ","2,395,825 ","2,278,757 ","2,305,361 ","2,312,621 ","2,295,036 ","2,172,394 ","2,324,442 ","2,348,449 ","2,369,621 ","2,234,114 ","2,264,151 ","2,283,178 ","2,301,848 ","2,320,985 ","2,348,718 ","2,370,643 ","2,400,358 ","2,418,307 ","2,451,972 ","2,621,733 ","2,498,178 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon              ,"770,555 ","701,855 ","760,041 ","821,878 ","815,494 ","824,607 ","850,617 ","874,396 ","887,275 ","900,991 ","927,546 ","948,806 "," 975,816 ","994,289 ","1,009,000 ","1,080,704 ","1,113,504 ","1,087,290 ","1,100,002 ","1,157,092 ","1,175,956 ","1,304,443 ","1,359,883 ","1,512,657 ","1,496,798 ","1,533,153 ","1,564,424 ","1,601,454 ","1,754,349 ","1,827,036 ","1,849,073 ","1,990,689 ","1,983,597 ","1,893,609 ","1,900,674 ","2,078,899 ","1,959,765 ","1,943,598 ","2,027,554 ","2,170,124 ","2,189,654 ","2,211,551 ","2,373,660 ","2,425,710 ","2,373,138 ","2,542,681 ","2,541,873 ","2,612,659 ","2,276,533 ","2,417,002 ","2,461,639 ","2,495,059 ","2,534,464 ","2,563,529 ","2,589,764 ","2,625,856 ","2,692,948 ","2,767,291 ","2,827,188 ","2,856,085 ","2,841,972 ","2,769,734 ","2,773,956 ","2,769,757 ","2,773,373 ","2,785,446 ","2,808,548 ","2,855,746 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"3,509,556 ","4,036,983 ","4,021,630 ","4,170,937 ","4,350,300 ","4,468,095 ","4,640,030 ","4,791,945 ","5,107,356 ","5,250,631 ","5,416,198 ","5,770,396 "," 5,221,318 ","5,815,943 ","5,851,840 ","5,659,000 ","6,102,642 ","6,301,133 ","5,913,029 ","6,076,102 ","6,217,156 ","6,213,058 ","6,312,484 ","6,532,145 ","6,573,742 ","6,659,977 ","6,861,134 ","6,938,416 ","7,025,750 ","7,070,662 ","7,337,575 ","7,056,468 ","7,251,529 ","7,351,333 ","7,442,842 ","7,469,884 ","7,555,006 ","7,691,269 ","7,684,136 ","7,731,880 ","7,796,615 ","7,899,052 ","7,950,559 ","8,018,519 ","8,054,636 ","8,115,074 ","8,154,055 ","8,221,143 ","8,317,715 ","8,404,689 ","8,478,276 ","8,229,490 ","8,226,202 ","8,323,741 ","8,369,575 ","8,430,142 ","8,460,530 ","8,526,204 ","8,600,691 ","8,646,273 ","8,687,206 ","8,737,162 ","8,796,774 ","8,842,587 ","8,896,590 ","8,915,641 ","8,942,967 ","8,996,815 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"295,476 ","314,794 ","323,341 ","321,477 ","347,351 ","356,272 ","380,421 ","388,669 ","393,579 ","398,601 ","409,597 ","415,792 "," 421,373 ","430,561 ","440,726 ","456,600 ","447,166 ","433,661 ","468,984 ","480,191 ","496,129 ","504,000 ","526,950 ","537,849 ","558,127 ","555,658 ","528,512 ","595,565 ","600,213 ","580,544 ","583,068 ","586,637 ","593,141 ","599,687 ","603,176 ","610,730 ","619,132 ","627,430 ","647,887 ","666,248 ","675,701 ","670,651 ","676,228 ","685,201 ","674,901 ","688,399 ","670,360 ","668,940 ","680,107 ","681,832 ","688,650 ","654,035 ","660,435 ","720,550 ","731,323 ","741,841 ","746,465 ","741,921 ","743,793 ","748,351 ","746,032 ","747,875 ","749,706 ","749,706 ","749,232 ","748,337 ","745,470 ","753,143 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"868,587 ","828,044 ","829,162 ","835,022 ","1,000,864 ","1,084,251 ","1,089,610 ","1,119,239 ","1,333,911 ","1,001,334 ","1,052,711 ","1,097,016 "," 965,452 ","1,057,014 ","1,099,370 ","1,216,666 ","1,087,910 ","1,187,897 ","1,243,991 ","1,326,451 ","1,376,828 ","1,409,352 ","1,460,213 ","1,563,788 ","1,415,728 ","1,462,971 ","1,566,027 ","1,584,583 ","1,741,432 ","1,814,389 ","1,891,699 ","1,952,830 ","1,948,520 ","1,959,351 ","2,007,683 ","2,100,448 ","2,131,895 ","2,168,629 ","2,195,348 ","2,305,533 ","2,338,660 ","2,372,825 ","2,401,642 ","2,399,902 ","2,430,511 ","2,492,019 ","2,542,139 ","2,574,575 ","2,613,102 ","2,679,131 ","2,810,221 ","2,842,553 ","2,849,885 ","2,918,957 ","2,918,957 ","2,972,369 ","2,987,593 ","3,067,747 ","3,126,890 ","3,185,408 ","3,268,498 ","3,337,247 ","3,408,318 ","3,455,931 ","3,536,404 ","3,617,535 ","3,683,824 ","3,746,681 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"312,389 ","332,420 ","341,925 ","340,438 ","360,557 ","384,956 ","415,130 ","415,200 ","405,695 ","414,888 ","389,528 ","425,112 "," 460,269 ","377,055 ","391,961 ","401,786 ","396,103 ","400,487 ","404,099 ","397,733 ","401,308 ","410,685 ","418,990 ","423,880 ","417,071 ","411,283 ","417,698 ","473,492 ","470,531 ","470,020 ","474,844 ","480,778 ","476,272 ","486,421 ","482,439 ","486,589 ","483,890 ","484,940 ","485,367 ","482,575 ","492,466 ","492,378 ","500,564 ","498,106 ","506,558 ","508,076 ","515,869 ","518,592 ","524,182 ","535,339 ","543,573 ","543,817 ","544,997 ","546,386 ","554,553 ","563,298 ","566,255 ","582,517 ","588,546 ","597,326 ","602,165 ","602,275 ","603,258 ","606,779 ","603,643 ","609,908 ","655,707 ","622,663 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"1,031,665 ","1,059,275 ","1,220,824 ","1,225,034 ","1,319,532 ","1,317,805 ","1,425,273 ","1,423,673 ","1,504,651 ","1,501,255 ","1,606,312 ","1,604,237 "," 1,692,383 ","1,698,365 ","1,775,960 ","1,786,487 ","1,861,572 ","1,905,524 ","2,060,000 ","2,010,000 ","2,012,730 ","2,078,315 ","2,087,502 ","2,159,499 ","2,244,706 ","2,371,396 ","2,430,363 ","2,532,450 ","2,597,025 ","2,694,460 ","2,753,129 ","2,809,655 ","2,838,014 ","2,902,326 ","2,933,197 ","2,977,842 ","3,025,458 ","3,106,584 ","3,156,826 ","3,198,978 ","3,432,019 ","3,334,425 ","3,393,127 ","3,486,025 ","3,542,531 ","3,825,671 ","3,739,043 ","3,805,600 ","3,929,026 ","4,072,836 ","4,175,766 ","4,251,228 ","4,188,317 ","4,205,933 ","4,204,166 ","4,247,884 ","4,351,868 ","4,387,883 ","4,425,881 ","4,450,644 ","4,476,539 ","4,418,210 ","4,543,759 ","4,573,871 ","4,605,100 ","4,613,166 ","4,621,401 ","5,197,904 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
