STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"1,125,332 ","1,187,294 ","1,304,311 ","1,353,844 ","1,390,056 ","1,445,922 ","1,596,537 ","1,623,123 ","1,681,900 ","1,716,588 ","1,729,002 ","1,791,253 "," 1,846,208 ","1,975,460 ","2,102,442 ","2,032,902 ","2,182,527 ","2,208,192 ","2,152,911 ","2,279,084 ","2,470,003 ","2,709,823 ","2,731,046 ","3,205,859 ","3,338,920 ","3,452,478 ","3,038,079 ","2,897,688 ","3,163,940 ","3,213,660 ","3,276,692 ","3,423,669 ","3,517,737 ","3,605,067 ","3,725,127 ","3,901,386 ","3,910,454 ","4,081,482 ","4,215,283 ","4,335,537 ","4,317,566 ","4,478,260 ","4,610,271 ","4,599,515 ","4,613,295 ","4,816,618 ","4,840,495 ","4,966,348 ","5,063,192 ","5,315,739 ","5,471,100 ","5,550,176 ","5,833,802 ","6,012,847 ","5,757,953 ","5,793,143 ","5,939,513 ","5,906,834 ","6,134,298 ","6,257,484 ","6,315,035 ","6,507,888 ","6,505,690 ","6,581,534 ","6,607,016 ","6,650,434 ","6,906,191 ","6,975,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii 2/,-,-,-,-,-,-,-,-,-,-,-,"275,750 "," 291,179 ","303,422 ","319,010 ","336,659 ","362,300 ","379,600 ","392,800 ","374,616 ","462,502 ","501,179 ","523,935 ","491,805 ","475,176 ","492,310 ","517,667 ","532,356 ","534,028 ","533,891 ","536,316 ","541,543 ","534,851 ","561,346 ","575,013 ","583,452 ","593,952 ","612,101 ","628,027 ","634,880 ","657,156 ","677,626 ","699,664 ","716,545 ","734,381 ","745,392 ","732,508 ","733,486 ","738,865 ","746,329 ","752,693 ","769,383 ","787,820 ","814,668 ","834,188 ","843,876 ","856,163 ","867,375 ","862,903 ","884,767 ","889,918 ","909,407 ","911,660 ","915,033 ","915,033 ","902,639 ","909,797 ","931,703 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,"319,956 ","350,399 ","376,987 ","346,035 ","330,488 ","349,997 ","357,325 ","369,142 ","378,378 ","391,023 ","403,473 ","420,045 "," 400,505 ","394,169 ","402,143 ","413,089 ","427,291 ","419,562 ","429,233 ","473,323 ","473,704 ","484,465 ","501,100 ","508,203 ","539,340 ","553,351 ","522,944 ","600,029 ","595,292 ","587,583 ","621,864 ","631,008 ","642,702 ","663,411 ","648,108 ","669,092 ","692,404 ","684,098 ","690,893 ","707,561 ","706,472 ","704,184 ","711,662 ","720,974 ","770,403 ","800,513 ","805,911 ","819,713 ","843,891 ","862,674 ","872,825 ","883,546 ","896,666 ","907,029 ","921,283 ","942,983 ","978,450 ","1,008,016 ","1,027,502 ","1,038,314 ","1,055,269 ","1,069,542 ","1,083,992 ","1,092,977 ","1,111,485 ","1,128,497 ","1,135,009 ","1,160,922 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"3,886,940 ","3,994,644 ","3,791,880 ","3,969,700 ","4,219,242 ","4,170,500 ","4,254,313 ","4,489,089 ","4,586,045 ","4,533,629 ","4,538,406 ","4,564,904 "," 4,585,638 ","4,647,242 ","5,228,632 ","5,441,669 ","5,596,806 ","5,820,736 ","5,801,527 ","5,971,676 ","5,689,165 ","5,752,361 ","5,903,167 ","6,003,602 ","6,124,554 ","6,299,774 ","6,389,533 ","6,548,674 ","6,741,192 ","6,853,843 ","6,929,810 ","7,002,549 ","6,863,009 ","6,964,608 ","6,984,733 ","6,685,374 ","6,949,622 ","7,093,371 ","7,186,070 ","7,262,508 ","7,205,156 ","7,294,732 ","7,359,537 ","7,410,693 ","7,462,158 ","7,502,201 ","7,210,972 ","7,609,618 ","7,691,750 ","7,700,880 ","7,925,204 ","7,961,046 ","7,809,500 ","8,033,399 ","8,054,232 ","8,057,683 ","7,870,872 ","8,071,253 ","8,190,023 ","8,260,940 ","8,301,118 ","8,373,969 ","8,373,969 ","8,235,745 ","8,261,582 ","8,373,565 ","8,462,193 ","8,514,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,"2,008,680 ","1,690,355 ","1,847,155 ","1,909,608 ","2,011,444 ","2,104,550 ","2,204,688 ","2,604,020 ","2,300,572 ","2,292,818 ","2,299,373 ","2,298,352 "," 2,395,947 ","2,453,097 ","2,499,735 ","2,543,110 ","2,685,940 ","2,752,313 ","2,661,091 ","2,572,598 ","2,840,439 ","2,699,127 ","2,803,665 ","2,936,579 ","2,876,539 ","3,185,040 ","3,337,783 ","3,445,290 ","3,474,158 ","3,529,895 ","3,591,167 ","3,631,457 ","3,495,306 ","3,345,254 ","3,550,785 ","3,574,337 ","3,597,585 ","3,761,193 ","3,590,173 ","3,773,008 ","3,838,030 ","3,601,354 ","3,453,186 ","3,800,436 ","3,790,781 ","3,860,329 ","3,706,182 ","3,704,156 ","3,923,614 ","3,976,241 ","3,856,177 ","3,976,241 ","4,116,924 ","4,221,123 ","4,536,205 ","4,521,329 ","4,246,189 ","4,246,189 ","4,308,845 ","5,550,469 ","5,550,469 ","5,550,469 ","6,569,665 ","5,375,973 ","4,500,403 ","4,448,099 ","4,467,848 ","4,553,259 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,"1,490,445 ","1,473,892 ","1,421,409 ","1,313,307 ","1,336,214 ","1,352,066 ","1,365,395 ","1,396,833 ","1,403,514 ","1,452,967 ","1,470,814 ","1,458,038 "," 1,470,674 ","1,476,392 ","1,474,980 ","1,498,703 ","1,517,455 ","1,552,569 ","1,584,015 ","1,597,635 ","1,632,757 ","1,678,262 ","1,688,591 ","1,727,257 ","1,780,781 ","1,843,033 ","1,883,513 ","1,959,216 ","1,984,650 ","2,021,520 ","2,106,066 ","2,106,608 ","2,122,000 ","1,926,852 ","1,928,799 ","1,927,018 ","1,900,998 ","1,883,849 ","1,842,538 ","1,886,950 ","1,921,629 ","1,872,486 ","1,856,650 ","1,858,605 ","1,899,430 ","1,896,518 ","1,905,450 ","1,955,601 ","1,952,935 ","1,950,374 ","1,935,201 ","1,952,508 ","1,978,748 ","1,992,803 ","1,977,909 ","2,003,723 ","2,033,417 ","2,040,873 ","2,093,649 ","1,989,663 ","2,145,333 ","2,166,759 ","2,191,715 ","2,217,304 ","2,143,665 ","2,227,950 ","2,224,130 ","2,245,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"1,206,847 ","1,155,918 ","1,144,254 ","1,187,913 ","1,278,250 ","1,257,969 ","1,315,646 ","1,350,830 ","1,318,248 ","1,348,365 ","1,394,137 ","1,406,670 "," 1,416,000 ","1,291,960 ","1,324,862 ","1,361,274 ","1,355,147 ","1,363,697 ","1,409,730 ","1,395,788 ","1,436,194 ","1,453,075 ","1,495,889 ","1,564,697 ","1,593,442 ","1,641,506 ","1,671,609 ","1,718,246 ","1,768,749 ","1,778,369 ","1,851,585 ","1,675,438 ","1,680,099 ","1,693,782 ","1,681,197 ","1,691,552 ","1,655,820 ","1,651,608 ","1,678,418 ","1,705,869 ","1,703,798 ","1,714,507 ","1,780,520 ","1,691,883 ","1,774,036 ","1,771,566 ","1,770,786 ","1,788,259 ","1,824,944 ","1,851,449 ","1,892,478 ","1,908,117 ","1,871,301 ","1,935,361 ","1,987,251 ","1,979,746 ","1,974,238 ","2,003,112 ","2,018,219 ","2,021,905 ","2,045,426 ","2,033,092 ","2,025,581 ","2,018,029 ","2,017,759 ","2,021,271 ","2,028,657 ","2,030,025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"842,214 ","921,721 ","953,432 ","1,000,200 ","1,059,739 ","1,137,155 ","1,138,038 ","1,180,000 ","1,202,226 ","1,183,646 ","1,250,256 ","1,253,649 "," 1,280,113 ","1,334,964 ","1,401,459 ","1,472,108 ","1,353,027 ","1,382,505 ","1,441,985 ","1,476,588 ","1,571,788 ","1,609,191 ","1,626,355 ","1,683,984 ","1,722,322 ","1,742,084 ","1,872,766 ","1,956,937 ","1,993,756 ","2,037,552 ","2,067,777 ","2,055,297 ","2,147,255 ","2,141,104 ","2,192,567 ","2,249,177 ","2,248,381 ","2,298,441 ","2,338,005 ","2,367,574 ","2,392,052 ","2,401,661 ","2,413,670 ","2,457,118 ","2,468,992 ","2,516,408 ","2,535,463 ","2,566,545 ","2,574,662 ","2,640,335 ","2,660,468 ","2,694,469 ","2,756,634 ","2,772,674 ","2,799,635 ","2,823,454 ","2,860,729 ","2,896,460 ","2,933,266 ","2,932,659 ","2,939,423 ","2,950,191 ","2,959,881 ","2,985,234 ","3,019,283 ","3,004,919 ","3,021,266 ","3,031,447 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"729,326 ","850,569 ","854,139 ","890,015 ","1,018,539 ","979,721 ","1,063,722 ","1,161,389 ","1,172,626 ","1,251,675 ","1,274,574 ","1,308,427 "," 1,321,035 ","1,362,622 ","1,358,046 ","1,463,826 ","1,537,304 ","1,594,848 ","1,621,822 ","1,676,969 ","1,723,203 ","1,781,620 ","1,812,868 ","1,916,845 ","2,015,999 ","2,033,227 ","2,121,973 ","2,152,850 ","2,223,033 ","2,258,857 ","2,291,000 ","2,259,417 ","2,405,698 ","2,539,776 ","2,767,356 ","2,830,287 ","2,755,943 ","2,700,790 ","2,614,425 ","2,597,965 ","2,573,954 ","2,575,460 ","2,594,762 ","2,616,830 ","2,576,701 ","2,594,615 ","2,593,509 ","2,624,131 ","2,677,845 ","2,736,305 ","2,762,571 ","2,759,120 ","2,718,209 ","3,168,238 ","3,119,960 ","3,169,627 ","3,083,516 ","3,014,191 ","3,033,966 ","2,998,162 ","3,086,004 ","3,133,631 ","3,186,227 ","2,923,744 ","3,278,143 ","3,312,630 ","3,357,091 ","3,395,095 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,"325,988 ","338,355 ","349,163 ","357,859 ","369,477 ","377,489 ","391,231 ","406,246 ","422,004 ","425,547 ","442,410 ","445,731 "," 454,065 ","456,549 ","463,465 ","464,258 ","505,229 ","474,068 ","484,748 ","490,659 ","496,633 ","513,388 ","539,720 ","556,881 ","595,478 ","650,462 ","627,962 ","647,359 ","667,681 ","683,290 ","702,490 ","729,893 ","752,553 ","757,264 ","770,240 ","790,623 ","803,830 ","817,928 ","870,716 ","866,728 ","886,912 ","887,042 ","888,963 ","917,944 ","905,533 ","913,597 ","864,447 ","873,713 ","900,844 ","912,506 ","911,704 ","920,235 ","942,556 ","948,748 ","932,455 ","984,829 ","1,003,972 ","1,005,160 ","1,009,780 ","1,006,057 ","1,013,533 ","1,019,738 ","1,014,826 ","1,008,190 ","1,011,385 ","1,018,918 ","1,019,879 ","1,021,332 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
