15-19," 8,591 "
20-24," 17,630 "
30-34," 19,120 "
25-29," 19,266 "
35-39," 18,088 "
40-44," 18,107 "
45-49," 18,988 "
50-54," 20,488 "
55-59," 20,068 "
60-64," 17,647 "
65-69," 14,788 "
70-74," 10,232 "
75-79," 6,834 "
80-84," 4,521 "
85+," 3,716 "
