,ST_CASE,HOUR,MINUTE,TIME
299,10301,1,15,75
300,10302,2,10,130
301,10303,2,23,143
302,10304,20,30,1230
303,10305,16,9,969
304,10306,15,7,907
305,10307,12,15,735
306,10308,4,21,261
307,10309,5,40,340
308,10310,8,15,495
309,10311,2,3,123
310,10312,2,15,135
311,10313,14,52,892
312,10314,17,33,1053
313,10315,18,30,1110
314,10316,18,32,1112
315,10317,14,30,870
316,10318,2,10,130
317,10319,20,53,1253
318,10320,10,45,645
319,10321,17,45,1065
320,10322,12,15,735
321,10323,3,56,236
322,10324,18,51,1131
323,10325,12,35,755
324,10326,7,40,460
325,10327,20,25,1225
326,10328,1,15,75
327,10329,5,38,338
328,10330,9,50,590
329,10331,21,3,1263
330,10332,6,1,361
331,10333,17,0,1020
332,10334,13,5,785
333,10335,6,20,380
334,10336,18,40,1120
335,10337,15,30,930
336,10338,7,0,420
337,10339,10,12,612
338,10340,11,25,685
339,10341,0,40,40
340,10342,18,5,1085
341,10343,13,40,820
342,10344,17,25,1045
343,10345,6,4,364
344,10346,0,22,22
345,10347,10,45,645
346,10348,15,54,954
347,10349,14,30,870
348,10350,22,27,1347
349,10351,19,50,1190
350,10352,18,26,1106
351,10353,19,30,1170
352,10354,17,40,1060
353,10355,19,0,1140
354,10356,2,35,155
355,10357,22,18,1338
356,10358,21,43,1303
357,10359,14,8,848
358,10360,6,35,395
359,10361,23,0,1380
360,10362,3,12,192
361,10363,23,5,1385
362,10364,5,21,321
363,10365,21,49,1309
364,10366,11,20,680
365,10367,13,58,838
366,10368,0,10,10
367,10369,2,30,150
368,10370,9,10,550
369,10371,10,58,658
370,10372,20,55,1255
371,10373,8,10,490
372,10374,17,52,1072
